time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5897.734168	38.385761	0.673743	-0.269751	27
5899.774958	39.212463	0.661517	-0.263593	29
5901.826160	43.214993	0.659856	-0.265051	31
5903.862158	42.689228	0.672155	-0.266439	33
5905.882128	39.781796	0.672169	-0.264982	35
5907.912663	38.215473	0.666511	-0.262722	37
5909.950130	38.411873	0.662486	-0.261751	39
5911.990885	39.178581	0.663305	-0.261896	41
5914.027910	39.752338	0.664169	-0.261420	43
5916.063807	39.622246	0.664864	-0.259915	45
5918.095262	38.849339	0.665174	-0.257824	47
5920.126359	38.358459	0.663288	-0.254908	49
5922.158861	38.445347	0.655284	-0.252585	51
5924.200930	39.302940	0.650595	-0.252488	53
5926.255177	40.509018	0.653487	-0.255023	55
5928.289870	40.841866	0.664393	-0.255984	57
5930.306744	39.510483	0.668083	-0.251579	59
5932.333721	38.679691	0.656915	-0.249252	61
5934.385067	39.599739	0.652227	-0.251617	63
5936.436200	40.577419	0.660801	-0.254396	65
5938.460888	40.033787	0.669740	-0.252671	67
5940.476654	38.618748	0.665379	-0.247641	69
5942.509160	37.928696	0.655767	-0.244489	71
5944.555009	38.682682	0.654212	-0.243752	73
5946.596569	39.982231	0.656579	-0.245354	75
5948.638180	41.123039	0.658793	-0.246602	77
5950.674133	41.558010	0.658002	-0.246252	79
5952.709400	41.417419	0.658386	-0.244381	81
5954.745075	40.961784	0.659134	-0.242207	83
5956.778417	40.303490	0.660960	-0.240749	85
5958.805877	39.096584	0.662034	-0.238801	87
5960.833234	37.699352	0.661891	-0.237583	89
5962.866084	37.097076	0.658118	-0.236876	91
5964.907327	38.087986	0.653114	-0.234048	93
5966.955684	40.238674	0.652338	-0.233046	95
5968.994079	41.148998	0.659903	-0.233051	97
5971.018924	39.245834	0.663717	-0.233128	99
5973.037416	37.101673	0.659491	-0.232505	101
5975.071830	37.063602	0.653925	-0.230696	103
5977.118782	38.921814	0.651110	-0.229775	105
5979.163746	41.197449	0.652022	-0.231282	107
5981.202030	41.969585	0.655529	-0.231103	109
5983.235706	41.357407	0.658908	-0.229219	111
5985.268212	40.526787	0.658648	-0.227965	113
5987.298370	40.147099	0.656995	-0.226662	115
5989.330011	40.225578	0.655504	-0.226250	117
5991.364714	40.518799	0.655436	-0.226070	119
5993.400741	41.030270	0.655011	-0.227062	121
5995.439761	41.566479	0.655461	-0.228014	123
5997.479886	41.751514	0.656596	-0.229437	125
5999.512646	41.310383	0.659604	-0.229246	127
6001.537027	40.266689	0.661615	-0.226982	129
6003.559355	39.105560	0.659194	-0.222937	131
6005.587451	38.716591	0.652899	-0.219737	133
6007.629672	39.297676	0.648946	-0.218221	135
6009.677515	40.459293	0.650344	-0.219339	137
6011.722318	41.361134	0.654700	-0.220426	139
6013.753820	41.282391	0.658035	-0.221705	141
6015.778146	40.637115	0.659791	-0.220500	143
6017.804759	39.555931	0.657620	-0.217898	145
6019.834925	38.806938	0.655102	-0.215691	147
6021.869195	38.704075	0.652577	-0.214289	149
6023.903991	38.925747	0.651055	-0.213387	151
6025.938141	39.071537	0.650898	-0.213270	153
6027.971731	218.951538	-0.652306	0.212762	155
6030.005617	218.878265	-0.652605	0.212234	157
6032.041061	38.734871	0.652477	-0.212954	159
6034.076867	38.956821	0.651046	-0.213577	161
6036.117013	39.547909	0.651223	-0.213898	163
6038.159508	220.790054	-0.649868	0.214327	165
6040.202792	42.334492	0.650021	-0.214605	167
6042.242723	43.088795	0.652219	-0.214462	169
6044.276541	42.298443	0.656013	-0.213366	171
6046.302529	40.523090	0.657489	-0.212060	173
6048.326748	39.010952	0.656241	-0.212305	175
6050.358280	38.369179	0.653498	-0.212524	177
6052.395883	38.567680	0.651128	-0.212543	179
6054.436817	39.487305	0.649030	-0.213626	181
6056.477678	40.557732	0.647350	-0.214751	183
6058.516253	41.391815	0.647448	-0.215535	185
6060.554194	41.928173	0.648716	-0.215227	187
6062.589262	42.402431	0.648002	-0.216079	189
6064.621950	42.780025	0.648698	-0.216324	191
6066.655319	43.007488	0.649310	-0.216899	193
6068.688605	42.859852	0.650030	-0.215835	195
6070.722664	41.972332	0.650559	-0.214294	197
6072.754221	40.853630	0.652275	-0.212461	199
6074.784128	40.062756	0.652919	-0.210069	201
6076.813162	39.673031	0.651491	-0.207843	203
6078.843412	39.677860	0.646771	-0.206856	205
6080.878385	39.767448	0.643262	-0.206309	207
6082.925368	220.326492	-0.643214	0.207174	209
6084.971351	41.420845	0.645725	-0.209397	211
6087.008788	42.254326	0.648242	-0.211391	213
6089.042176	42.878220	0.649402	-0.212769	215
6091.073256	42.658371	0.649501	-0.213536	217
6093.103530	41.772331	0.649818	-0.212441	219
6095.135552	41.089039	0.648840	-0.212007	221
6097.167319	40.564732	0.648379	-0.211193	223
6099.201087	40.490768	0.648458	-0.211000	225
6101.235184	40.565701	0.647364	-0.210611	227
6103.271062	40.830395	0.646217	-0.210012	229
6105.307346	41.150127	0.645683	-0.211157	231
6107.344858	41.988289	0.644779	-0.211412	233
6109.384431	42.895329	0.644597	-0.210101	235
