crossing time (s)	slope (V/s)	crossing number
7146.358586	3.247934	4310
7147.376948	3.828609	4311
7148.359461	5.019391	4312
7149.387235	4.431983	4313
7150.405773	4.948560	4314
7151.409768	4.809342	4315
7152.426039	4.022248	4316
7153.465319	4.371188	4317
7154.452643	4.220284	4318
7155.488537	4.539618	4319
7156.495373	4.136360	4320
7157.519740	3.814277	4321
7158.543408	4.252081	4322
7159.555735	4.272199	4323
7160.581077	4.714499	4324
7161.590473	4.567524	4325
7162.613901	4.979394	4326
7163.629689	4.226128	4327
7164.642589	4.261769	4328
7165.670383	3.874344	4329
7166.665229	4.070112	4330
7167.710409	4.562240	4331
7168.712049	4.094689	4332
7169.733156	4.219638	4333
7170.759581	4.183421	4334
7171.762878	3.943880	4335
7172.778930	4.529773	4336
7173.818631	3.996052	4337
7174.816926	4.011831	4338
7175.837411	4.438110	4339
7176.864514	4.196085	4340
7177.880169	3.995122	4341
7178.881342	4.235305	4342
7179.919816	4.207467	4343
7180.931335	3.883932	4344
7181.936687	3.872668	4345
7182.962068	4.185691	4346
7183.989541	3.798204	4347
7184.989582	3.767463	4348
7186.017298	4.043493	4349
7187.035198	3.758648	4350
7188.044506	3.518332	4351
7189.067093	4.075446	4352
7190.095191	3.548270	4353
7191.091702	3.641847	4354
7192.126901	3.959810	4355
7193.136377	3.583003	4356
7194.153872	4.048709	4357
7195.182749	3.708214	4358
7196.185563	3.692227	4359
7197.216958	3.751539	4360
7198.224922	3.652812	4361
7199.250995	4.063341	4362
7200.262472	3.884185	4363
7201.286974	4.276491	4364
7202.295413	3.990222	4365
7203.320241	4.252186	4366
7204.325195	3.990178	4367
7205.357638	4.035011	4368
7206.361281	3.903995	4369
7207.392377	3.766337	4370
7208.402531	4.014741	4371
7209.417199	3.923467	4372
7210.446871	4.085325	4373
7211.444130	3.900191	4374
7212.483917	3.705424	4375
7213.487384	4.105124	4376
7214.507977	3.916598	4377
7215.531266	4.021669	4378
7216.541922	4.196252	4379
7217.561486	4.164095	4380
7218.590796	4.259654	4381
7219.590119	4.115923	4382
7220.625365	4.118051	4383
7221.632481	4.325114	4384
7222.641850	4.184545	4385
7223.673819	4.187265	4386
7224.688004	4.252710	4387
7225.691309	4.140876	4388
7226.729621	4.175945	4389
7227.726941	4.021864	4390
7228.758924	4.126216	4391
7229.770132	4.360242	4392
7230.781152	3.920512	4393
7231.812941	3.896834	4394
7232.821832	3.874760	4395
7233.849643	4.073559	4396
7234.858547	4.077693	4397
7235.869800	3.913748	4398
7236.895871	4.041998	4399
7237.901934	3.325669	4400
7238.931920	3.584765	4401
7239.947565	3.338388	4402
7240.975828	3.617585	4403
7241.981932	3.735583	4404
7243.010717	3.995215	4405
7244.020435	4.105488	4406
7245.038958	4.228371	4407
7246.059225	4.106387	4408
7247.063791	4.255703	4409
7248.100634	4.105669	4410
7249.101583	4.271558	4411
7250.129390	4.331636	4412
7251.144053	3.959268	4413
7252.148389	4.151563	4414
